PassengerId,Survived,Class,LastName,FirstName,Title,Sex,Age,FamilySize,Ticket,FarePerPerson,Deck,Embarked,IsMother
1,False,Third,Braund, Owen Harris,Mr,male,22,2,A/5 21171,7.25,U,Southampton,0
2,True,First,Cumings, John Bradley (Florence Briggs Thayer),Mrs,female,38,2,PC 17599,71.28,C,Cherbourg,1
3,True,Third,Heikkinen, Laina,Miss,female,26,1,STON/O2. 3101282,7.93,U,Southampton,0
4,True,First,Futrelle, Jacques Heath (Lily May Peel),Mrs,female,35,2,113803,53.10,C,Southampton,0
5,False,Third,Allen, William Henry,Mr,male,35,1,373450,8.05,U,Southampton,0
7,False,First,McCarthy, Timothy J,Mr,male,54,1,17463,51.86,E,Southampton,0
8,False,Third,Palsson, Gosta Leonard,Mr,male,2,5,349909,21.08,U,Southampton,0
9,True,Third,Johnson, Oscar W (Elisabeth Vilhelmina Berg),Mrs,female,27,3,347742,11.13,U,Southampton,1
10,True,Second,Nasser, Nicholas (Adele Achem),Mrs,female,14,2,237736,30.07,U,Cherbourg,0
11,True,Third,Sandstrom, Marguerite Rut,Miss,female,4,3,PP 9549,16.70,G,Southampton,0
12,True,First,Bonnell, Elizabeth,Miss,female,58,1,113783,26.55,C,Southampton,0
13,False,Third,Saundercock, William Henry,Mr,male,20,1,A/5. 2151,8.05,U,Southampton,0
14,False,Third,Andersson, Anders Johan,Mr,male,39,7,347082,31.28,U,Southampton,0
15,False,Third,Vestrom, Hulda Amanda Adolfina,Miss,female,14,1,350406,7.85,U,Southampton,0
16,True,Second,Hewlett, (Mary D Kingcome) ,Mrs,female,55,1,248706,16.00,U,Southampton,0
17,False,Third,Rice, Eugene,Mr,male,2,6,382652,29.13,U,Queenstown,0
19,False,Third,Vander Planke, Julius (Emelia Maria Vandemoortele),Mrs,female,31,2,345763,18.00,U,Southampton,1
21,False,Second,Fynney, Joseph J,Mr,male,35,1,239865,26.00,U,Southampton,0
22,True,Second,Beesley, Lawrence,Mr,male,34,1,248698,13.00,D,Southampton,0
23,True,Third,McGowan, Anna "Annie",Miss,female,15,1,330923,8.03,U,Queenstown,0
24,True,First,Sloper, William Thompson,Mr,male,28,1,113788,35.50,A,Southampton,0
25,False,Third,Palsson, Torborg Danira,Miss,female,8,5,349909,21.08,U,Southampton,0
26,True,Third,Asplund, Carl Oscar (Selma Augusta Emilia Johansson),Mrs,female,38,7,347077,31.39,U,Southampton,1
28,False,First,Fortune, Charles Alexander,Mr,male,19,6,19950,263.00,C,Southampton,0
31,False,First,Uruchurtu, Manuel E,Mr,male,40,1,PC 17601,27.72,U,Cherbourg,0
34,False,Second,Wheadon, Edward H,Mr,male,66,1,C.A. 24579,10.50,U,Southampton,0
35,False,First,Meyer, Edgar Joseph,Mr,male,28,2,PC 17604,82.17,U,Cherbourg,0
36,False,First,Holverson, Alexander Oskar,Mr,male,42,2,113789,52.00,U,Southampton,0
38,False,Third,Cann, Ernest Charles,Mr,male,21,1,A./5. 2152,8.05,U,Southampton,0
39,False,Third,Vander Planke, Augusta Maria,Miss,female,18,3,345764,18.00,U,Southampton,0
40,True,Third,Nicola-Yarred, Jamila,Miss,female,14,2,2651,11.24,U,Cherbourg,0
41,False,Third,Ahlin, Johan (Johanna Persdotter Larsson),Mrs,female,40,2,7546,9.48,U,Southampton,1
42,False,Second,Turpin, William John Robert (Dorothy Ann Wonnacott),Mrs,female,27,2,11668,21.00,U,Southampton,0
44,True,Second,Laroche, Simonne Marie Anne Andree,Miss,female,3,4,SC/Paris 2123,41.58,U,Cherbourg,0
45,True,Third,Devaney, Margaret Delia,Miss,female,19,1,330958,7.88,U,Queenstown,0
50,False,Third,Arnold-Franchi, Josef (Josefine Franchi),Mrs,female,18,2,349237,17.80,U,Southampton,0
51,False,Third,Panula, Juha Niilo,Mr,male,7,6,3101295,39.69,U,Southampton,0
52,False,Third,Nosworthy, Richard Cater,Mr,male,21,1,A/4. 39886,7.80,U,Southampton,0
53,True,First,Harper, Henry Sleeper (Myna Haxtun),Mrs,female,49,2,PC 17572,76.73,D,Cherbourg,0
54,True,Second,Faunthorpe, Lizzie (Elizabeth Anne Wilkinson),Mrs,female,29,2,2926,26.00,U,Southampton,1
55,False,First,Ostby, Engelhart Cornelius,Mr,male,65,2,113509,61.98,B,Cherbourg,0
57,True,Second,Rugg, Emily,Miss,female,21,1,C.A. 31026,10.50,U,Southampton,0
58,False,Third,Novel, Mansouer,Mr,male,28,1,2697,7.23,U,Cherbourg,0
59,True,Second,West, Constance Mirium,Miss,female,5,4,C.A. 34651,27.75,U,Southampton,0
60,False,Third,Goodwin, William Frederick,Mr,male,11,8,CA 2144,46.90,U,Southampton,0
61,False,Third,Sirayanian, Orsen,Mr,male,22,1,2669,7.23,U,Cherbourg,0
63,False,First,Harris, Henry Birkhardt,Mr,male,45,2,36973,83.48,C,Southampton,0
64,False,Third,Skoog, Harald,Mr,male,4,6,347088,27.90,U,Southampton,0
67,True,Second,Nye, (Elizabeth Ramell),Mrs,female,29,1,C.A. 29395,10.50,F,Southampton,0
68,False,Third,Crease, Ernest James,Mr,male,19,1,S.P. 3464,8.16,U,Southampton,0
69,True,Third,Andersson, Erna Alexandra,Miss,female,17,7,3101281,7.93,U,Southampton,0
70,False,Third,Kink, Vincenz,Mr,male,26,3,315151,8.66,U,Southampton,0
71,False,Second,Jenkin, Stephen Curnow,Mr,male,32,1,C.A. 33111,10.50,U,Southampton,0
72,False,Third,Goodwin, Lillian Amy,Miss,female,16,8,CA 2144,46.90,U,Southampton,0
73,False,Second,Hood, Ambrose Jr,Mr,male,21,1,S.O.C. 14879,73.50,U,Southampton,0
74,False,Third,Chronopoulos, Apostolos,Mr,male,26,2,2680,14.45,U,Cherbourg,0
75,True,Third,Bing, Lee,Mr,male,32,1,1601,56.50,U,Southampton,0
76,False,Third,Moen, Sigurd Hansen,Mr,male,25,1,348123,7.65,F,Southampton,0
80,True,Third,Dowdell, Elizabeth,Miss,female,30,1,364516,12.48,U,Southampton,0
81,False,Third,Waelens, Achille,Mr,male,22,1,345767,9.00,U,Southampton,0
82,True,Third,Sheerlinck, Jan Baptist,Mr,male,29,1,345779,9.50,U,Southampton,0
84,False,First,Carrau, Francisco M,Mr,male,28,1,113059,47.10,U,Southampton,0
85,True,Second,Ilett, Bertha,Miss,female,17,1,SO/C 14885,10.50,U,Southampton,0
86,True,Third,Backstrom, Karl Alfred (Maria Mathilda Gustafsson),Mrs,female,33,4,3101278,15.85,U,Southampton,0
87,False,Third,Ford, William Neal,Mr,male,16,5,W./C. 6608,34.38,U,Southampton,0
89,True,First,Fortune, Mabel Helen,Miss,female,23,6,19950,263.00,C,Southampton,0
90,False,Third,Celotti, Francesco,Mr,male,24,1,343275,8.05,U,Southampton,0
91,False,Third,Christmann, Emil,Mr,male,29,1,343276,8.05,U,Southampton,0
92,False,Third,Andreasson, Paul Edvin,Mr,male,20,1,347466,7.85,U,Southampton,0
93,False,First,Chaffee, Herbert Fuller,Mr,male,46,2,W.E.P. 5734,61.18,E,Southampton,0
94,False,Third,Dean, Bertram Frank,Mr,male,26,4,C.A. 2315,20.58,U,Southampton,0
95,False,Third,Coxon, Daniel,Mr,male,59,1,364500,7.25,U,Southampton,0
97,False,First,Goldschmidt, George B,Mr,male,71,1,PC 17754,34.65,A,Cherbourg,0
98,True,First,Greenfield, William Bertram,Mr,male,23,2,PC 17759,63.36,D,Cherbourg,0
99,True,Second,Doling, John T (Ada Julia Bone),Mrs,female,34,2,231919,23.00,U,Southampton,1
100,False,Second,Kantor, Sinai,Mr,male,34,2,244367,26.00,U,Southampton,0
101,False,Third,Petranec, Matilda,Miss,female,28,1,349245,7.90,U,Southampton,0
103,False,First,White, Richard Frasar,Mr,male,21,2,35281,77.29,D,Southampton,0
104,False,Third,Johansson, Gustaf Joel,Mr,male,33,1,7540,8.65,U,Southampton,0
105,False,Third,Gustafsson, Anders Vilhelm,Mr,male,37,3,3101276,7.93,U,Southampton,0
106,False,Third,Mionoff, Stoytcho,Mr,male,28,1,349207,7.90,U,Southampton,0
107,True,Third,Salkjelsvik, Anna Kristine,Miss,female,21,1,343120,7.65,U,Southampton,0
109,False,Third,Rekic, Tido,Mr,male,38,1,349249,7.90,U,Southampton,0
111,False,First,Porter, Walter Chamberlain,Mr,male,47,1,110465,52.00,C,Southampton,0
112,False,Third,Zabour, Hileni,Miss,female,14,2,2665,14.45,U,Cherbourg,0
113,False,Third,Barton, David John,Mr,male,22,1,324669,8.05,U,Southampton,0
114,False,Third,Jussila, Katriina,Miss,female,20,2,4136,9.83,U,Southampton,1
115,False,Third,Attalah, Malake,Miss,female,17,1,2627,14.46,U,Cherbourg,0
116,False,Third,Pekoniemi, Edvard,Mr,male,21,1,STON/O 2. 3101294,7.93,U,Southampton,0
117,False,Third,Connors, Patrick,Mr,male,70,1,370369,7.75,U,Queenstown,0
118,False,Second,Turpin, William John Robert,Mr,male,29,2,11668,21.00,U,Southampton,0
119,False,First,Baxter, Quigg Edmond,Mr,male,24,2,PC 17558,247.52,B,Cherbourg,0
120,False,Third,Andersson, Ellis Anna Maria,Miss,female,2,7,347082,31.28,U,Southampton,0
